Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
SPROHSA111513	SPROHSA111513	SPROHSA111513		83	false	false		SPROHSA111513		37.35	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	     0	     0	     0	14M(15.9949)		SPROHSA13519, SPROHSA136682, SPROHSA136684, SPROHSA210028, SPROHSA289430, SPROHSA349171, SPROHSA44546, SPROHSA64485, SPROHSA7700, SPROHSA81887, SPROHSA81889
SPROHSA111524	SPROHSA111524	SPROHSA111524		81	false	false		SPROHSA111524		23.46	1.0000	0.9945	0.00000000000000	4	0	4	5	0	5	     0	     0	     0			SPROHSA254661, SPROHSA357441
SPROHSA111526	SPROHSA111526	SPROHSA111526		75	false	false		SPROHSA111526		12.00	1.0000	0.9835	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA11700, SPROHSA131223, SPROHSA2079, SPROHSA209594, SPROHSA219361, SPROHSA27972, SPROHSA285948, SPROHSA301494, SPROHSA319600, SPROHSA320858, SPROHSA337014, SPROHSA338220, SPROHSA358088, SPROHSA994
SPROHSA111597	SPROHSA111597	SPROHSA111597		23	false	false		SPROHSA111597		39.13	1.0000	0.9963	0.00000000000000	1	0	1	3	0	3	     0	     0	     0	1Q(-17.0265)		SPROHSA127490, SPROHSA163599, SPROHSA172593, SPROHSA29896, SPROHSA326813, SPROHSA335500, SPROHSA381408, SPROHSA72773, SPROHSA91650
SPROHSA111643	SPROHSA111643	SPROHSA111643		46	false	false		SPROHSA111643		21.74	1.0000	0.9876	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA111644, SPROHSA111645, SPROHSA184989, SPROHSA184990, SPROHSA184991, SPROHSA196448, SPROHSA196449, SPROHSA266634, SPROHSA2754, SPROHSA2755, SPROHSA2756, SPROHSA334490, SPROHSA7392, SPROHSA7393
SPROHSA111667	SPROHSA111667	SPROHSA111667		94	false	false		SPROHSA111667		11.70	1.0000	0.9940	0.00000000000000	2	0	2	2	0	2	     0	     0	     0	9M(15.9949)		SPROHSA17917
SPROHSA111703	SPROHSA111703	SPROHSA111703		69	false	false		SPROHSA111703		21.74	1.0000	0.9957	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			SPROHSA113061, SPROHSA115004, SPROHSA129703, SPROHSA129705, SPROHSA176646, SPROHSA229296, SPROHSA229298, SPROHSA261181, SPROHSA261183, SPROHSA281402, SPROHSA281403, SPROHSA308715, SPROHSA338172, SPROHSA368289, SPROHSA42613, SPROHSA42615, SPROHSA5517, SPROHSA92365, SPROHSA92366
SPROHSA111838	SPROHSA111838	SPROHSA111838		100	false	false		SPROHSA111838		10.00	1.0000	0.9983	0.00000000000000	3	0	3	7	0	7	     0	     0	     0			SPROHSA175839, SPROHSA32428
SPROHSA111915	SPROHSA111915	SPROHSA111915		69	false	false		SPROHSA111915		13.04	1.0000	0.9869	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA116591, SPROHSA17826
SPROHSA111998	SPROHSA111998	SPROHSA111998		42	false	false		SPROHSA111998		21.43	1.0000	0.9882	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA111999, SPROHSA112000, SPROHSA138496, SPROHSA182451, SPROHSA182452, SPROHSA182453, SPROHSA23369, SPROHSA23370, SPROHSA293345, SPROHSA293346, SPROHSA293347, SPROHSA330129, SPROHSA330130, SPROHSA330131, SPROHSA330132
SPROHSA112019	SPROHSA112019	SPROHSA112019		64	false	false		SPROHSA112019		14.06	1.0000	0.9963	0.00000000000000	1	0	1	4	0	4	     0	     0	     0			SPROHSA45160
