PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
P00374	DHFR	0.000000	0.000000	0.000000	
P00403	MT-CO2	0.000000	0.000000	0.000000	
P00491	PNP	0.000000	0.000000	0.000000	
P00558	PGK1	0.000000	0.000000	0.000000	
P00966	ASS1	0.000000	0.000000	0.000000	
P00973	OAS1	0.000000	0.000000	0.000000	
P01033	TIMP1	0.000000	0.000000	0.000000	
P01106	MYC	0.000000	0.000000	0.000000	
P01130	LDLR	0.000000	0.000000	0.000000	
P01137	TGFB1	0.000000	0.000000	0.000000	
P01374	LTA	0.000000	0.000000	0.000000	
P01591	JCHAIN	0.000000	0.000000	0.000000	
P01834	IGKC	0.000000	0.000000	0.000000	
P01857	IGHG1	0.000000	0.000000	0.000000	
P01889	HLA-B	0.000000	0.000000	0.000000	
P01903	HLA-DRA	0.000000	0.000000	0.000000	
P02545	LMNA	0.000000	0.000000	0.000000	
P02686	MBP	0.000000	0.000000	0.000000	
P02768	ALB	0.000000	0.000000	0.000000	
P02786	TFRC	0.000000	0.000000	0.000000	
P02792	FTL	0.000000	0.000000	0.000000	
P02810	PRH1	0.000000	0.000000	0.000000	
P02812	PRB2	0.000000	0.000000	0.000000	
P03928	MT-ATP8	0.000000	0.000000	0.000000	
P04035	HMGCR	0.000000	0.000000	0.000000	
P04066	FUCA1	0.000000	0.000000	0.000000	
P04080	CSTB	0.000000	0.000000	0.000000	
P04114	APOB	0.000000	0.000000	0.000000	
P04183	TK1	0.000000	0.000000	0.000000	
P04233	CD74	0.000000	0.000000	0.000000	
P04406	GAPDH	0.000000	0.000000	0.000000	
P04439	HLA-A	0.000000	0.000000	0.000000	
P04440	HLA-DPB1	0.000000	0.000000	0.000000	
P04632	CAPNS1	0.000000	0.000000	0.000000	
P04637	TP53	0.000000	0.000000	0.000000	
P04792	HSPB1	0.000000	0.000000	0.000000	
P04818	TYMS	0.000000	0.000000	0.000000	
P04844	RPN2	0.000000	0.000000	0.000000	
P04908	H2AC4	0.000000	0.000000	0.000000	
P05023	ATP1A1	0.000000	0.000000	0.000000	
P05107	ITGB2	0.000000	0.000000	0.000000	
P05109	S100A8	0.000000	0.000000	0.000000	
P05161	ISG15	0.000000	0.000000	0.000000	
P05362	ICAM1	0.000000	0.000000	0.000000	
P05387	RPLP2	0.000000	0.000000	0.000000	
P05771	PRKCB	0.000000	0.000000	0.000000	
P06239	LCK	0.000000	0.000000	0.000000	
P06400	RB1	0.000000	0.000000	0.000000	
P06493	CDK1	0.000000	0.000000	0.000000	
P06702	S100A9	0.000000	0.000000	0.000000	
P06733	ENO1	0.000000	0.000000	0.000000	
P06734	FCER2	0.000000	0.000000	0.000000	
P06748	NPM1	0.000000	0.000000	0.000000	
P06756	ITGAV	0.000000	0.000000	0.000000	
P06865	HEXA	0.000000	0.000000	0.000000	
P07195	LDHB	0.000000	0.000000	0.000000	
P07339	CTSD	0.000000	0.000000	0.000000	
P07355	ANXA2	0.000000	0.000000	0.000000	
P07437	TUBB	0.000000	0.000000	0.000000	
P07814	EPRS1	0.000000	0.000000	0.000000	
P07900	HSP90AA1	0.000000	0.000000	0.000000	
P07948	LYN	0.000000	0.000000	0.000000	
P07954	FH	0.000000	0.000000	0.000000	
P07992	ERCC1	0.000000	0.000000	0.000000	
P08133	ANXA6	0.000000	0.000000	0.000000	
P08237	PFKM	0.000000	0.000000	0.000000	
P08238	HSP90AB1	0.000000	0.000000	0.000000	
P08567	PLEK	0.000000	0.000000	0.000000	
P08574	CYC1	0.000000	0.000000	0.000000	
P08575	PTPRC	0.000000	0.000000	0.000000	
P08670	VIM	0.000000	0.000000	0.000000	
P08708	RPS17	0.000000	0.000000	0.000000	
P09086	POU2F2	0.000000	0.000000	0.000000	
P09211	GSTP1	0.000000	0.000000	0.000000	
P09488	GSTM1	0.000000	0.000000	0.000000	
P09543	CNP	0.000000	0.000000	0.000000	
P09651	HNRNPA1	0.000000	0.000000	0.000000	
P09661	SNRPA1	0.000000	0.000000	0.000000	
P09669	COX6C	0.000000	0.000000	0.000000	
P09874	PARP1	0.000000	0.000000	0.000000	
P09884	POLA1	0.000000	0.000000	0.000000	
P09912	IFI6	0.000000	0.000000	0.000000	
P09913	IFIT2	0.000000	0.000000	0.000000	
P09914	IFIT1	0.000000	0.000000	0.000000	
P09936	UCHL1	0.000000	0.000000	0.000000	
P09958	FURIN	0.000000	0.000000	0.000000	
P0C0S5	H2AZ1	0.000000	0.000000	0.000000	
P0C1Z6	TFPT	0.000000	0.000000	0.000000	
P0C7P4	UQCRFS1P1	0.000000	0.000000	0.000000	
P0CG22	DHRS4L1	0.000000	0.000000	0.000000	
P0DPI2	GATD3	0.000000	0.000000	0.000000	
P10155	RO60	0.000000	0.000000	0.000000	
P10176	COX8A	0.000000	0.000000	0.000000	
P10242	MYB	0.000000	0.000000	0.000000	
P10321	HLA-C	0.000000	0.000000	0.000000	
P10398	ARAF	0.000000	0.000000	0.000000	
