PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
SPROHSA153832		0.000000	0.000000	0.000000	
SPROHSA153844		0.000000	0.000000	0.000000	
SPROHSA153868		0.000000	0.000000	0.000000	
SPROHSA154419		0.000000	0.000000	0.000000	
SPROHSA154466		0.000000	0.000000	0.000000	
SPROHSA154784		0.000000	0.000000	0.000000	
SPROHSA154805		0.000000	0.000000	0.000000	
SPROHSA154901		0.000000	0.000000	0.000000	
SPROHSA155117		0.000000	0.000000	0.000000	
SPROHSA15539		0.000000	0.000000	0.000000	
SPROHSA155485		0.000000	0.000000	0.000000	
SPROHSA155709		0.000000	0.000000	0.000000	
SPROHSA155954		0.000000	0.000000	0.000000	
SPROHSA156080		0.000000	0.000000	0.000000	
SPROHSA15731		0.000000	0.000000	0.000000	
SPROHSA157560		0.000000	0.000000	0.000000	
SPROHSA157907		0.000000	0.000000	0.000000	
SPROHSA157987		0.000000	0.000000	0.000000	
SPROHSA158576		0.000000	0.000000	0.000000	
SPROHSA158577		0.000000	0.000000	0.000000	
SPROHSA158709		0.000000	0.000000	0.000000	
SPROHSA158860		0.000000	0.000000	0.000000	
SPROHSA158873		0.000000	0.000000	0.000000	
SPROHSA158925		0.000000	0.000000	0.000000	
SPROHSA159325		0.000000	0.000000	0.000000	
SPROHSA15945		0.000000	0.000000	0.000000	
SPROHSA159560		0.000000	0.000000	0.000000	
SPROHSA159661		0.000000	0.000000	0.000000	
SPROHSA160108		0.000000	0.000000	0.000000	
SPROHSA160169		0.000000	0.000000	0.000000	
SPROHSA160245		0.000000	0.000000	0.000000	
SPROHSA160560		0.000000	0.000000	0.000000	
SPROHSA161040		0.000000	0.000000	0.000000	
SPROHSA161261		0.000000	0.000000	0.000000	
SPROHSA161289		0.000000	0.000000	0.000000	
SPROHSA161335		0.000000	0.000000	0.000000	
SPROHSA162407		0.000000	0.000000	0.000000	
SPROHSA162665		0.000000	0.000000	0.000000	
SPROHSA162708		0.000000	0.000000	0.000000	
SPROHSA162855		0.000000	0.000000	0.000000	
SPROHSA162978		0.000000	0.000000	0.000000	
SPROHSA163032		0.000000	0.000000	0.000000	
SPROHSA163204		0.000000	0.000000	0.000000	
SPROHSA163431		0.000000	0.000000	0.000000	
SPROHSA163517		0.000000	0.000000	0.000000	
SPROHSA1637		0.000000	0.000000	0.000000	
SPROHSA163705		0.000000	0.000000	0.000000	
SPROHSA163915		0.000000	0.000000	0.000000	
SPROHSA164390		0.000000	0.000000	0.000000	
SPROHSA164713		0.000000	0.000000	0.000000	
SPROHSA164925		0.000000	0.000000	0.000000	
SPROHSA165128		0.000000	0.000000	0.000000	
SPROHSA165477		0.000000	0.000000	0.000000	
SPROHSA165895		0.000000	0.000000	0.000000	
SPROHSA165904		0.000000	0.000000	0.000000	
SPROHSA166149		0.000000	0.000000	0.000000	
SPROHSA166450		0.000000	0.000000	0.000000	
SPROHSA16648		0.000000	0.000000	0.000000	
SPROHSA166805		0.000000	0.000000	0.000000	
SPROHSA166821		0.000000	0.000000	0.000000	
SPROHSA167108		0.000000	0.000000	0.000000	
SPROHSA167138		0.000000	0.000000	0.000000	
SPROHSA167258		0.000000	0.000000	0.000000	
SPROHSA167272		0.000000	0.000000	0.000000	
SPROHSA167799		0.000000	0.000000	0.000000	
SPROHSA168288		0.000000	0.000000	0.000000	
SPROHSA168336		0.000000	0.000000	0.000000	
SPROHSA16847		0.000000	0.000000	0.000000	
SPROHSA168637		0.000000	0.000000	0.000000	
SPROHSA168865		0.000000	0.000000	0.000000	
SPROHSA168898		0.000000	0.000000	0.000000	
SPROHSA168923		0.000000	0.000000	0.000000	
SPROHSA169407		0.000000	0.000000	0.000000	
SPROHSA169711		0.000000	0.000000	0.000000	
SPROHSA169738		0.000000	0.000000	0.000000	
SPROHSA169864		0.000000	0.000000	0.000000	
SPROHSA169958		0.000000	0.000000	0.000000	
